"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Leifsonia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.63094780746112	0.361621063769622	0.2765539633606	5.05268261737476e-20	5.39626503535624e-17	5.05268261737476e-20	3.54698319739708e-17	NA	"abundance"	64	62
"Noviherbaspirillum"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.48106735959185	0.361621063769622	0.312238798598637	1.069462348211e-17	5.71092893944676e-15	1.069462348211e-17	3.75381284222062e-15	NA	"abundance"	64	64
"Streptosporangium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-4.73635068634093	0.361621063769622	0.434556643319059	3.46948368296342e-16	1.23513619113498e-13	6.93896736592686e-16	1.21778877272016e-13	NA	"abundance"	64	63
"Pseudonocardia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.26792926094218	0.361621063769622	0.193738785745817	6.32478859558212e-16	1.68871855502043e-13	6.32478859558212e-16	1.21778877272016e-13	NA	"abundance"	64	64
"Devosia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.73137136315598	0.361621063769622	0.169190722279704	1.45437205876213e-15	3.1065387175159e-13	1.45437205876213e-15	2.04193837050203e-13	NA	"abundance"	64	64
"Peredibacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	5.71400150989477	0.361621063769622	0.545895718540998	1.35536760671725e-12	2.4125543399567e-10	2.71073521343265e-12	3.1715601997162e-10	NA	"abundance"	64	51
"Actinoplanes"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.76688244185499	0.361621063769622	0.374901970527261	7.84234108232889e-12	1.19651718227532e-09	7.84234108232889e-12	7.86474777113554e-10	NA	"abundance"	64	64
"Phenylobacterium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.13378547971809	0.361621063769622	0.158549958846384	1.48465092292727e-11	1.98200898210791e-09	1.48465092292727e-11	1.30278118486868e-09	NA	"abundance"	64	64
"Hyphomicrobium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.74140634242327	0.361621063769622	0.211933753982552	2.17082044666455e-11	2.57604026337526e-09	2.17082044666455e-11	1.69323994839835e-09	NA	"abundance"	64	64
"Pedobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	5.41612062874172	0.361621063769622	0.605214873311946	3.16378095739438e-11	3.3789180624972e-09	3.16378095739438e-11	2.22097423209085e-09	NA	"abundance"	64	64
"Sphingobium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.00988007985082	0.361621063769622	0.298065766153873	4.75774021741257e-11	4.61933322926966e-09	9.51548043459876e-11	5.56655605424027e-09	NA	"abundance"	64	62
"Pseudomonas"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.52107667264576	0.361621063769622	0.377459235073024	9.08369565396489e-11	8.08448913202875e-09	9.08369565396489e-11	5.56655605424027e-09	NA	"abundance"	64	64
"Desulfosporosinus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-5.61147505589634	0.361621063769622	0.671890035774393	1.14077428731136e-10	9.37189952960413e-09	2.28154857449258e-10	1.02681212515955e-08	NA	"abundance"	64	42
"Hydrotalea"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.69533910317828	0.361621063769622	0.410027677168237	1.78157781718715e-10	1.35908936339706e-08	1.78157781718715e-10	9.62052021281063e-09	NA	"abundance"	64	63
"Altererythrobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.93303282209482	0.361621063769622	0.306338330333046	2.34031253597617e-10	1.5621586177641e-08	2.34031253597617e-10	1.02681212515955e-08	NA	"abundance"	64	63
"Asticcacaulis"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.7095367230171	0.361621063769622	0.274892900275322	2.31085647531517e-10	1.5621586177641e-08	2.31085647531517e-10	1.02681212515955e-08	NA	"abundance"	64	64
"Kribbella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.01210265002215	0.361621063769622	0.409104808574833	4.33307330316853e-10	2.72218958104941e-08	4.33307330316853e-10	1.78930438754371e-08	NA	"abundance"	64	64
"Defluviicoccus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.64447867681294	0.361621063769622	0.272550138642101	5.7730726404603e-10	3.42535643333978e-08	1.15461452775877e-09	4.50299665825922e-08	NA	"abundance"	64	62
"Rubrobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-4.50149513145176	0.361621063769622	0.676056440422231	2.23115830123491e-09	1.25414582406257e-07	4.46231659749174e-09	1.64870855338905e-07	NA	"abundance"	64	63
"Albidiferax"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.27979408710789	0.361621063769622	0.354619575592253	6.94630030783158e-09	3.70932436438206e-07	6.94630030783158e-09	2.43815140804888e-07	NA	"abundance"	64	55
"Belnapia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	5.1665204359247	0.361621063769622	0.674397853295568	9.29937415700401e-09	4.72939599984775e-07	1.85987482275296e-08	5.93469147987537e-07	NA	"abundance"	64	50
"Chryseobacterium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.1724287031532	0.361621063769622	0.553368031829323	9.98653442431014e-09	4.84800852961965e-07	9.98653442431014e-09	3.33835579326939e-07	NA	"abundance"	64	62
"Rhizobium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.96494130972	0.361621063769622	0.353131454873211	2.44341687399505e-08	1.13459531366379e-06	2.44341687399505e-08	7.45773324149793e-07	NA	"abundance"	64	64
"Psychrobacillus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.64776974906778	0.361621063769622	0.611896894583052	2.74564492341348e-08	1.221811990919e-06	2.74564492341348e-08	8.03101140098442e-07	NA	"abundance"	64	64
"Flavitalea"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.41260967319118	0.361621063769622	0.603201419600555	3.17695334718101e-08	1.30499468261128e-06	3.17695334718101e-08	8.57777403738874e-07	NA	"abundance"	64	63
"Gaiella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.19425929445305	0.361621063769622	0.517569477203884	3.1711874590785e-08	1.30499468261128e-06	3.1711874590785e-08	8.57777403738874e-07	NA	"abundance"	64	64
"Microlunatus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.35953805751773	0.361621063769622	0.569176479036004	4.41357883479797e-08	1.74581562798675e-06	4.41357883479797e-08	1.14753049704747e-06	NA	"abundance"	64	64
"Solibacillus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-5.15336845028714	0.361621063769622	0.84406814476741	5.95434460195658e-08	2.27115715531772e-06	1.1908688849371e-07	2.53330290068437e-06	NA	"abundance"	64	62
"Nitrospira"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.92079813488867	0.361621063769622	0.513023956474055	6.82678506962961e-08	2.51414015667739e-06	1.36535696732093e-07	2.81906056193909e-06	NA	"abundance"	64	62
"Spirilliplanes"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.36535022556372	0.361621063769622	0.242377121437297	7.56584211203613e-08	2.69343979188486e-06	7.56584211203613e-08	1.8968647009462e-06	NA	"abundance"	64	64
"Bdellovibrio"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	1.8847385132855	0.361621063769622	0.20377887899647	8.28490571857973e-08	2.76508728357598e-06	8.28490571857973e-08	1.93866793814766e-06	NA	"abundance"	64	64
"Candidatus_Nostocoida"	"Reads"	"Reads"	"Reads"	0.97924954845686	-0.0299366818476919	0.162019878465178	8.14513349214692e-08	2.76508728357598e-06	8.14513349214692e-08	1.93866793814766e-06	NA	"abundance"	64	64
"Blastocatella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.2797524376079	0.361621063769622	0.410565910962801	8.85862872720135e-08	2.86697438807607e-06	8.85862872720135e-08	2.0060507633856e-06	NA	"abundance"	64	64
"Mycobacterium"	"Reads"	"Reads"	"Reads"	-1.02416596261527	-0.0299366818476919	0.156441266896445	9.81431262511254e-08	3.08284878930005e-06	9.81431262511254e-08	2.15301483213406e-06	NA	"abundance"	64	64
"Oceanobacillus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.5557233182008	0.361621063769622	0.648788677821431	2.01208870425832e-07	6.13974496042254e-06	4.02417700366655e-07	7.43413751729979e-06	NA	"abundance"	64	61
"Lysinibacillus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-5.41713394136159	0.361621063769622	0.908795534603077	2.70484982180663e-07	8.02438780469302e-06	2.70484982180663e-07	5.42515592830931e-06	NA	"abundance"	64	64
"SM1A02"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.94469659431685	0.361621063769622	0.545660465587192	2.8246456797569e-07	8.15330158373073e-06	5.64929056165148e-07	9.91450493569835e-06	NA	"abundance"	64	58
"Domibacillus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.28698756378394	0.361621063769622	0.603277366609355	3.18839118098626e-07	8.80235106659913e-06	3.18839118098626e-07	6.0985617851339e-06	NA	"abundance"	64	54
